label,pair,lit_mean,unlit_mean,flash_gain,ratio_hp,diff_hp,glint_r,glint_l,glint_native_r,glint_native_l,surround,reflectance,face_px,exposure
real,95,70.3,4.0,17.676,0.1287,0.1013,2.04,1.55,2.30,2.23,0.319,0.2839,87,267
real,96,70.6,4.0,17.735,0.1219,0.0994,1.75,1.80,2.30,2.02,0.328,0.2829,86,267
real,97,67.5,4.0,16.983,0.1437,0.1097,1.61,1.57,1.71,1.97,0.352,0.2820,89,267
real,98,70.2,4.0,17.675,0.1261,0.1000,1.58,1.76,2.19,2.07,0.319,0.2840,87,267
real,99,70.5,4.0,17.745,0.1242,0.1001,2.00,1.57,2.46,2.11,0.320,0.2829,87,267
real,100,70.5,4.0,17.737,0.1255,0.1001,1.70,1.80,2.41,2.33,0.319,0.2839,86,267
real,101,66.7,4.0,16.792,0.1491,0.1142,2.07,1.93,2.19,2.47,0.352,0.2817,90,267
real,102,70.4,4.0,17.727,0.1247,0.0992,1.66,1.89,2.35,2.24,0.319,0.2840,87,267
real,103,70.6,4.0,17.784,0.1256,0.0986,1.70,1.93,2.13,2.17,0.319,0.2841,87,267
real,104,70.9,4.0,17.848,0.1235,0.0995,2.03,1.63,2.45,2.14,0.315,0.2827,87,267
real,105,70.7,4.0,17.777,0.1244,0.1000,2.16,1.88,2.65,2.35,0.312,0.2844,86,267
real,106,70.4,4.0,17.734,0.1281,0.1018,2.17,2.00,2.69,2.45,0.319,0.2843,86,267
real,107,70.5,4.0,17.726,0.1249,0.1000,2.02,1.61,2.38,2.22,0.312,0.2840,87,267
real,108,71.1,4.0,17.882,0.1219,0.0977,1.66,1.63,2.43,2.13,0.312,0.2844,86,267
real,109,70.2,4.0,17.654,0.1291,0.1011,1.64,1.63,2.18,2.27,0.329,0.2837,87,267
real,110,70.4,4.0,17.709,0.1265,0.1002,1.93,1.58,2.12,2.24,0.319,0.2840,87,267
