label,pair,lit_mean,unlit_mean,flash_gain,ratio_hp,diff_hp,glint_r,glint_l,glint_native_r,glint_native_l,surround,reflectance,face_px,exposure
print,79,128.6,3.9,33.238,0.1615,0.0994,1.61,1.47,1.78,1.49,0.504,1.9717,95,66
print,80,128.8,3.9,33.346,0.1607,0.0994,1.64,1.46,1.86,1.40,0.515,1.9700,96,66
print,81,127.5,3.9,32.949,0.1626,0.0998,1.67,1.43,1.85,1.49,0.524,1.9589,94,66
print,82,127.1,3.9,32.922,0.1650,0.1010,1.63,1.49,1.73,1.47,0.508,1.9435,96,66
print,83,126.4,3.9,32.784,0.1668,0.1018,1.64,1.38,1.78,1.33,0.509,1.9432,96,66
print,84,125.1,3.9,32.425,0.1665,0.1027,1.66,1.46,1.85,1.40,0.495,1.9294,97,66
print,85,124.3,3.9,32.210,0.1700,0.1041,1.80,1.44,1.78,1.48,0.512,1.9075,97,66
print,86,124.3,3.9,32.125,0.1666,0.1036,1.74,1.48,1.82,1.46,0.509,1.9070,96,66
print,87,124.5,3.9,32.199,0.1665,0.1032,1.67,1.38,1.83,1.31,0.501,1.9086,95,66
print,88,124.4,3.9,32.235,0.1687,0.1041,1.63,1.50,1.77,1.48,0.486,1.9304,98,66
print,89,124.6,3.9,32.219,0.1659,0.1031,1.62,1.50,1.82,1.37,0.487,1.9177,98,66
print,90,123.4,3.9,31.900,0.1692,0.1033,1.68,1.46,1.78,1.42,0.492,1.9163,97,66
print,91,123.9,3.9,32.058,0.1664,0.1024,1.64,1.42,1.74,1.44,0.508,1.9026,97,66
print,92,123.6,3.9,31.943,0.1656,0.1034,1.61,1.46,1.83,1.40,0.506,1.9062,96,66
print,93,122.9,3.9,31.743,0.1696,0.1048,1.67,1.45,1.79,1.47,0.501,1.8899,98,66
print,94,123.9,3.9,32.058,0.1677,0.1032,1.64,1.52,1.79,1.50,0.494,1.9060,98,66
print,95,124.8,3.9,32.336,0.1684,0.1037,1.75,1.54,1.72,1.54,0.489,1.9040,100,66
print,96,125.3,3.9,32.513,0.1681,0.1034,1.66,1.53,1.91,1.67,0.487,1.9175,99,66
print,97,125.2,3.9,32.444,0.1684,0.1025,1.63,1.54,1.83,1.57,0.494,1.9070,100,66
print,98,125.5,3.9,32.510,0.1670,0.1020,1.70,1.53,1.75,1.66,0.493,1.9296,99,66
print,99,125.9,3.9,32.643,0.1666,0.1024,1.67,1.51,1.70,1.47,0.491,1.9293,100,66
print,100,125.8,3.9,32.559,0.1674,0.1026,1.69,1.51,1.66,1.49,0.474,1.9356,100,66
print,101,124.7,3.9,32.232,0.1685,0.1037,1.65,1.55,1.78,1.58,0.481,1.9171,99,66
print,102,124.3,3.9,32.250,0.1704,0.1040,1.69,1.48,1.76,1.49,0.496,1.9047,100,66
print,103,123.9,3.9,32.024,0.1679,0.1043,1.64,1.43,1.76,1.48,0.495,1.9024,99,66
print,104,124.4,3.9,32.163,0.1689,0.1038,1.65,1.51,1.90,1.48,0.492,1.9132,98,66
print,105,124.6,3.9,32.273,0.1659,0.1034,1.81,1.56,1.86,1.55,0.497,1.9259,97,66
print,106,125.5,3.9,32.497,0.1665,0.1031,1.71,1.49,1.81,1.55,0.492,1.9313,98,66
print,107,125.2,3.9,32.376,0.1671,0.1020,1.68,1.46,1.79,1.44,0.489,1.9198,97,66
print,108,125.8,3.9,32.570,0.1657,0.1022,1.71,1.45,1.82,1.37,0.494,1.9255,97,66
print,109,124.9,3.9,32.327,0.1659,0.1024,1.69,1.48,1.81,1.48,0.486,1.9159,98,66
print,110,124.5,3.9,32.189,0.1662,0.1032,1.75,1.56,1.85,1.62,0.486,1.9168,97,66
